UNICA ATACADISTA DE TINTAS

FORNECEDORES - COMPLETO 31/08/2026 19:55

Cadastro Inicial : TODOS
Cadastro Final : TODOS
Atividade : TODOS
Material para Revenda : TODOS
Situação : ATIVOS
Ordenar por : CÓDIGO
Destino : CSV

CÓDIGO;NOME DO FORNECEDOR;ENDEREÇO;BAIRRO;CIDADE;UF;;C.E.P.;CAIXA POSTAL;C.P.F./C.N.P.J.;INSC. ESTADUAL;;CONTATO;DATA DE CADASTRO;TELEFONE;FAX
"00000224";"TEKCLEAN SOLUCOES PARA MAQUINAS LTDA";"QD ADE LOTE 07 E 08 CONJ.";"AGUAS CLARAS";"BRASILIA";"DF";" ";"71986360";"";"11842557000196";"0763610600179";" ";"GUSTAVO 8485-1981";31/07/2013;"61 33561157";""
"00000225";"W.L. DE OLIVEIRA & CIA LTDA";"SIA TRECHO 02 LT 785/95";"SETOR DE INDUSTRIA";"BRASILIA";"DF";" ";"71200020";"";"00101253000151";"0733502300192";" ";"";09/08/2013;"61 33615500";""
"00000226";"CLAUDIO ANTONIO DE SOUZA";"RUA FLOR DE MAIO S/N QD 45 LT";"SETOR PONTA KAYANA";"TRINDADE";"GO";" ";"75380000";"";"17698569000175";"105592765";" ";"";22/08/2013;"62 32100507";""
"00000227";"SIGMA TOOLS COM. MAQUINAS EQUIP. E ACE";"RUA MATRIX,";"MOINHO VELHO";"COTIA";"SP";" ";"06714360";"";"13031956000100";"278309697117";" ";"";05/09/2013;"11 37831424";""
"00000228";"BARBOSA COMERCIO DE TINTAS";"BR 070 KM 28 LOJA";"MANSOES CENTRO OESTE";"AGUAS LINDAS";"GO";" ";"72000000";"";"09687713000140";"104317019";" ";"";06/09/2013;"";""
"00000229";"MARDONIO CARGO EXPRESS LTDA";"ALAMEDA RIO PRETO,";"CENTRO EMPRESARIAL TAMBORE";"BARUERI";"SP";" ";"06460050";"";"67743625000114";"206272671113";" ";"JOSELHA 8599-1460 / TIAGO";10/09/2013;"11 41332995";""
"00000230";"PRINT MASTER INFORMATICA";"SCLN 113 BL A LJ 33 SUBSOLO";"ASA NORTE";"BRASILIA";"DF";" ";"70763510";"";"13700322000195";"0757459000134";" ";"ALVINO";01/10/2013;"61 85653838";""
"00000231";"SOFTYEL COMERCIO E SERVICOS DA INFORMATICA LTDA ME";"CLSW 303 BL C LOJAS";"SUDOESTE";"BRASILIA";"DF";" ";"70673623";"";"26668251000132";"0765206400127";" ";"";21/10/2013;"61 30338907";""
"00000232";"WB COMPONENTES AUTOMOTIVOS";"RUA DO NIQUEL QD  54 LT 03 667";"PARQUE OESTE INDUSTRIAL";"GOIÂNIA";"GO";" ";"74375660";"";"08528393000112";"104082054";" ";"";29/10/2013;"62 32360500";""
"00000233";"HYUNDAI CAOA DO BRASIL LTDA";"SIA TRECHO 4 LOTE 300 A";"SIA SUL";"BRASILIA";"DF";" ";"71200030";"";"03518732006954";"0756487300289";" ";"FINANCEIRO 11-5538-1035 R";28/11/2013;"61 37090050";""
"00000234";"TSO DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO LTDA";"SHVP CHACARA 29 LOTE 23 LOJA 01,02 E 03";"VICENTE PIRES";"TAGUATINGA";"DF";" ";"72110800";"";"09547149000160";"";" ";"";19/12/2013;"61 33976363";""
"00000235";"FALCAO INDUSTRIA E COMERCIO DE TINTAS LTDA";"AV. RAVISO PEREIRA MAIA,";"JARDIM BOTANICO";"CAMPOS GERAIS";"MG";" ";"37160000";"";"09252646000130";"0010553610090";" ";"EDILENE";28/11/2013;"35 38533140";""
"00000236";"FENIX ADVANCE PRODUTOS AUTOMOTIVOS LTDA-ME";"RUA GALILEIA, 161 SOBRELOJA";"CASA VERDE";"SAO  PAULO";"SP";" ";"02530000";"";"12742217000156";"147585256115";" ";"";21/01/2014;"11 38584878";""
"00000237";"AUTO CONSTRUCAO DST. DE PECAS E SEVICOS LTDA EPP";"SDE QD 3 CJ A LOTE";"TAGUATINGA NORTE";"BRASILIA";"DF";" ";"00719850";"";"05824171000159";"0744774100180";" ";"";28/11/2013;"61 39641526";""
"00000238";"ESPACO E FORMA M. E DIVISORIAS LTDA";"OUT ADE CONJ. 26 N O LT 06/07";"AGUAS CLARAS";"TAGUATINGA";"DF";" ";"71990720";"";"37977691000783";"0732035900450";" ";"";23/01/2014;"61 30342222";""
"00000239";"ELETROFRAN MAT. ELETRICOS LTDA ME";"SIA QD 05 AREA ESPECIAL 10 LOJA N.";"SIA";"BRASILIA";"DF";" ";"71200055";"";"10792578000181";"0752008400129";" ";"";29/01/2014;"61 33610480";""
"00000240";"EM7 DISTRIBUICAO E IMPORTACAO LTDA";"RUA CEL. JOSE CARVALHO DE OLIVEIRA, 1720 BL 1";"UBERABA";"CURITIBA";"PR";" ";"81570160";"";"18950827000121";"9064349110";" ";"";07/02/2014;"41 91165003";""
"00000241";"CURINGA DOS PNEUS LTDA";"SIA QD 01 TRECHO 02, 1170 PARTE A";"SETOR DE INDUSTRIA";"BRASILIA";"DF";" ";"71200020";"";"00041327003801";"0731555100671";" ";"";18/02/2014;"61 21062121";""
"00000242";"RODONAVES TRANSP. E ENCOMENDAS LTDA";"RUA GEN. AUGUSTO SOARES DOS SA,";"PRQ IND. LAGOINHA";"RIBEIRAO PRETO";"SP";" ";"14095240";"";"44914992000138";"582249216111";" ";"";22/01/2014;"16 21019900";""
"00000243";"TRANSPORTODORA E COMERCIO BRASILIENSE LTDA";"RUA SARGENTO JETER AUGUSTO PEREIRA,";"PARQUE NOVO MUNDO";"SÃO PAULO";"SP";" ";"02188070";"";"00425926000200";"111076680117";" ";"";10/02/2014;"11 29545633";""
"00000244";"TERRAVIVA IND. E COM. DE MAT. P/ CONST, TRANS.";"TRECHO SIA TRECHO 2 LOTES 205 A 275,  ZONA";"GUARA";"BRASILIA";"DF";" ";"71200020";"";"15598614000194";"0760886900164";" ";"";22/02/2014;"61 35333150";""
"00000245";"FORTPLAC COMERCIO DE MADEIRAS";"TRECHO 02 LOTE";"SIA";"BRASILIA";"DF";" ";"72000000";"";"18859806000103";"0765646000160";" ";"";10/02/2014;"";""
"00000246";"MADERMACK COMERCIO DE TINTAS LTDA";"CND 1 LT 08 N. 0 LOJA";"TAG. NORTE";"BRASILIA";"DF";" ";"72120015";"";"04539985000189";"0742422500100";" ";"";27/02/2014;"61 33542666";""
"00000247";"REVILLE COMERCIO E REFRIGERACAO LTDA";"QE 40 RUA 11 LOTE 31 POLO DE MODAS";"GUARA II";"BRASILIA";"DF";" ";"71070511";"";"00867822000174";"0735545500114";" ";"";27/03/2014;"61 33013440";""
"00000248";"CARLES E SOUSA LTDA";"RUA 29-A QD 49-A  710 SALA 30 SETOR AEROPORTO";"GOIANIA";"GOIÁS";"GO";" ";"74075320";"";"11944338000118";"104701064";" ";"";02/04/2014;"";""
"00000249";"S3 COMERCIO E CONSTRUCOES EIRELI - ME";"RUA 10 CHACARA 168 VICENTE PIRES SN";"VICENTE PIRES";"BRASILIA";"DF";" ";"00719850";"";"19654269000110";"0767076800186";" ";"";28/03/2014;"   39641524";""
"00000250";"RF EMBALAGENS LTDA";"SIAL SUL TRECHO 10 LOTE 05 BOX Nº";"BRASILIA";"BRASILIA";"DF";" ";"71208900";"";"05033973000140";"0743334900148";" ";"";22/04/2014;"";""
"00000251";"REAL CORES COMERCIO DE TINTAS LTDA";"AVENIDA T 9, 3149 QD 269 LT 21 - JARDIM AMERICA";"JARDIM AMERICA";"GOIÂNIA";"GO";" ";"74255220";"";"11462748000122";"104607742";" ";"";02/04/2014;"";""
"00000252";"SIA PARAFUSOS E FERRAMENTAS LTDA";"SIA SUL QD 4C BL E LT 46/48/49 LJ 71/73";"SIA";"BRASILIA";"DF";" ";"71200045";"";"05902751000117";"0744900900136";" ";"";24/04/2014;"61 32338838";""
"00000253";"CAVALCANTE E SOUSA SERVICOS E COMERCIO DE TINTAS";"QS 03 EPTC LOTE 27 LOJA 03 PARTE B";"AGUAS CLARAS";"BRASILIA";"DF";" ";"71953000";"";"15531405000123";"0760795600168";" ";"";02/04/2014;"61 34035050";""
"00000254";"WESLEY ALVES DE BARROS";"QS 11 CONJ. F N.";"AREAL";"AGUAS CLARAS";"DF";" ";"71979720";"";"18524242000140";"0765091300117";" ";"";05/05/2014;"61 30483667";""
"00000255";"PLANO COMERCIO DE POLIDORES E P";"QNJ 43 N.";"TAGUATINGA NORTE (TAGUATINGA)";"BRASILIA";"DF";" ";"72140430";"";"38052023000112";"0766901700174";" ";"";14/05/2014;"61 34911565";""
"00000256";"PLASPEL II EMBALAGENS LTDA EPP";"CSG 5 - LOTE 03 - GALPAO PARTE";"TAGUATINGA SUL";"BRASILIA";"DF";" ";"72035505";"";"19455228000102";"0766750800108";" ";"";19/05/2014;"   35330722";""
"00000257";"FRANCISCO GILDENOR DA SILVA-ME";"RUA 20 LOTE 24 LOJA 01(POLO DE MODAS)";"GUARA II";"BRASILIA";"DF";" ";"71070520";"";"18558993000187";"0765184900173";" ";"";10/06/2014;"61 85171980";""
"00000258";"SAGA S/A GOIAS DE AUTOMOVEIS - HYUNDAI BSB";"SGCV SUL LT 12 PARTE C L";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71215100";"";"01104751000978";"0740624300378";" ";"";21/07/2014;"61 34039390";"   34039390"
"00000259";"FARBEN S/A INDUSTRIA QUIMICA";"ROD ICR 364 KM 03, 03";"SANTA CATARINA";"IÇARA";"SC";" ";"88820000";"";"85111441000113";"252264398";" ";"";24/07/2014;"48 21014300";""
"00000260";"MARCON INDUSTRIA METALURGICA LTDA";"RUA COELHO NETO,";"MARIANA";"MARÍLIA";"SP";" ";"17510013";"";"57211997000146";"438060218112";" ";"";25/08/2014;"14 34012425";""
"00000261";"SOLUCAO ADESIVOS E SELANTES LTDA";"RUA  JUSCELINO KUBITSCHEK DE OLIVEIRA - 12953 1- D";"CIDADE INDUSTRIAL";"CURITIBA";"PR";" ";"81460000";"";"09092458000192";"9042153254";" ";"CLEISON";01/10/2014;"41 33271301";""
"00000262";"BRILHO MAX COMERCIAL DESCARTAVEIS E LIMPEZA LTDA-M";"TERCEIRA AVENIDA AE";"NUCLEO BANDEIRANTE";"BRASILIA";"DF";" ";"71710350";"";"17252400000197";"0762885000166";" ";"";03/10/2014;"61 30220005";""
"00000263";"CLARO S/A";"AVENIDA 24 DE OUTUBRO - DE 521 A 1389 - LADO IMPAR";"SETOR CAMPINAS";"GOIÂNIA";"GO";" ";"74505011";"";"40432544043628";"105450944";" ";"";14/10/2014;"";""
"00000264";"BRYLCOR SANTANA IND. COM. TINTAS";"AVENIDA JOSE ROBERTO DE CAMARGO TOLEDO,";"CHACARAS SAO LUIS";"SANTANA DE PARNAÍBA";"SP";" ";"06504150";"";"07094233000140";"623094823117";" ";"JORGE";17/10/2014;"11 41542311";""
"00000265";"PPJ COMERCIO DE TINTAS LTDA";"SQ";"AGUAS CLARAS";"BRASILIA";"DF";" ";"70310500";"";"01648029000570";"0737280100411";" ";"";21/10/2014;"61 33520505";""
"00000266";"REDE BRASIL DSIT. E LOGIST. LTDA FILIAL DF";"QUADRA CSG";"TAG. SUL";"BRASILIA";"DF";" ";"70035513";"";"07728073000496";"0747890400203";" ";"";03/11/2014;"61 41010772";""
"00000267";"PAR TECNOLOGIA E SERVICOS DE INFORMATICA LTDA EPP";"SAAN QD 02 LOTES 850/880";"ASA NORTE";"BRASILIA";"DF";" ";"70847550";"";"05414632000115";"0752260600145";" ";"";07/11/2014;"61 33496288";""
"00000268";"ZAMER DISTRIBUIDORA DE BATERIAS LTDA EPP";"QUADRA 10 CONJ A  LOTE 1/3";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71215251";"";"01626696000129";"0731277500162";" ";"";18/11/2014;"61 32336330";""
"00000269";"SERGIO WILLIAN VIEIRA SE SOUUSA";"RUA 12 CHACARA";"SETOR HABITACIONAL VICENTE PIR";"BRASILIA";"DF";" ";"72007820";"";"04287505166";"";" ";"";27/12/2014;"";""
"00000270";"NOVO MUNDO MOVEIS E UTILIDADES LTDA";"C 5 LOTE 07 LJS 02/03/04";"TAGUATINGA CENTRO (TAGUATINGA)";"BRASILIA";"DF";" ";"72010050";"";"01534080005006";"0730208400342";" ";"";15/01/2015;"61 39052828";""
"00000271";"DAIANE LETICIA DE OLIVEIRA REZENDE";"RUA SEBASTIAO BRAZ,";"VILA FREI EUGENIO";"UBERABA";"MG";" ";"38015440";"";"19695045000156";"0023071530056";" ";"";16/01/2015;"34 91241952";""
"00000272";"NOVA AMAZONAS IND. COM. IMP. ALIM. LTDA";"POLO DE DESENVOLVIMENTO JUSCELINO KUBITSCHEK TRECH";"SANTA MARIA";"BRASILIA";"DF";" ";"72549555";"";"37259223000269";"0741837500240";" ";"";03/02/2015;"61 21050000";""
"00000273";"SIQUEIRA CAMPOS IMPORTACAO E DISTRIBUICAO LTDA";"POLO DE DESENVOLVIMENTO JUSCELINO KUBITSCHEK TRECH";"SANTA MARIA";"BRASILIA";"DF";" ";"72549520";"";"01791424000184";"0737022600160";" ";"";16/03/2015;"61 21078400";""
"00000274";"TRIPAR BEB ADMINISTRADORA DE CARTOES LTDA";"SHCN NORTE CR QD 502 BLOCO B 23 3º ANDAR SALÃO";"ASA NORTE";"BRASILIA";"DF";" ";"70720502";"";"02561118000114";"0738590800193";" ";"";08/04/2015;"61 21960700";""
"00000275";"MONICA OLIVEIRA SOUSA & CIA LTDA";"SC/S QD 05 BL. C TERREO LJ";"ASA SUL";"BRASILIA";"DF";" ";"70300500";"";"04219303000150";"0750830500104";" ";"";11/05/2015;"   32012050";""
"00000276";"EXTRA COMPANHIA BRASILEIRA DE DISTRIBUICAO";"SMAS S/N TRECHO 3 CONJ";"GUARA";"BRASILIA";"DF";" ";"71215300";"";"47508411116456";"0730478703682";" ";"";03/06/2015;"";""
"00000277";"F BRASIL LTDA";"AV PREFEITO JOAO VILALLOBO QUERO,1560 MD";"JARDIM BELVAL";"BARUERI";"SP";" ";"06422122";"";"02634926000407";"206234733111";" ";"";23/06/2015;"11 48732111";""
"00000278";"DEDOES BRASIL COMERCIO DE EQUIPAMENTOS DE MISTURA";"AVENIDA DOUTOR TIMOTEO PENTEADO - DE 3451/3452 A 4";"VILA GALVAO";"GUARULHOS";"SP";" ";"07061002";"";"09097386000176";"336819633110";" ";"";01/07/2015;"11 24559892";""
"00000279";"NB COMERCIAL DE TINTAS LTDA";"AV CENTRAL LOTE 430 LOJA";"NUCLEO BANDEIRANTE";"NUCLEO BANDEIRANTE";"DF";" ";"71705200";"";"03651611000198";"0740719800106";" ";"";17/07/2015;"61 35525000";""
"00000280";"PAPEL MASCARAUTO LTDA";"SRIA QI-10, BLOCO-B LOTE-";"JARDIM MONTE ALEGRE";"TABOÃO DA SERRA";"SP";" ";"06755270";"";"13725232000159";"675199885119";" ";"EVELIN";27/07/2015;"11 45582915";""
"00000281";"RENAUTO VEICULOS E PECAS LTDA";"RUA 3 - DE 758 A 99998 - LADO PAR";"SETOR CENTRAL";"GOIÂNIA";"GO";" ";"74023010";"";"73522245000152";"102607052";" ";"";04/08/2015;"26235013239";""
"00000282";"PINCEL PLACAS E LETREIROS LTDA ME";"QD 4C BLOCO D LOTE";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71200045";"";"10864315000130";"0752166400189";" ";"NAYANE";11/08/2015;"   32342366";""
"00000283";"PANIFICADORA E CONFEITARIA PAO DA HORA";"QE 40 RUA 11 LT 8";"GUARA II";"BRASILIA";"DF";" ";"71070511";"";"13260372000107";"0756637300173";" ";"";14/08/2015;"";""
"00000284";"BICALHO MOVEIS PARA ESCRITORIO LTDA ME";"CND 2 LOTE 14 LOJA 01 LOTE 15 LOJA";"TAGUATINGA NORTE (TAGUATINGA)";"BRASILIA";"DF";" ";"72120025";"";"37136439000156";"0746498200143";" ";"";12/08/2015;"61 33544000";""
"00000285";"A.A. ASA COPIAS COPIADORA LTDA";"SCLRN 715 BLOCO D";"ASA NORTE";"BRASILIA";"DF";" ";"70770514";"";"02593933000165";"0738646900163";" ";"";14/08/2015;"61 33404663";""
"00000286";"ROBERT BOSCH LTDA";"VIA ANHANGUERA, KM 99 E 98";"JARDIM EULINA";"BOA VISTA - CAMPINAS";"SP";" ";"13065900";"";"45990181003285";"244007410115";" ";"FELIX (ROBERLO)";26/08/2015;"47 38022960";""
"00000287";"HUMBERTO DE FREITAS - ME";"QS 5 RUA";"AREAL (AGUAS CLARAS)";"BRASILIA";"DF";" ";"71964180";"";"10526217000193";"0751398200105";" ";"PLACAS DE ACRILICO";26/08/2015;"61 33562140";""
"00000288";"JUSSARA FERREIRA GOMES";"CONDOMINIO VILLE MONTAGNE";"SETOR HABITACIONAL JARDIM BOTA";"BRASILIA";"DF";" ";"71680357";"";"18293527000117";"";" ";"GILSON";14/08/2015;"61999961911";""
"00000289";"SEBRAE DF";"SIA TRECHO 3 LOTE";"GUARA";"BRASILIA";"DF";" ";"72000000";"";"00438200000120";"";" ";"";31/08/2015;"   33621600";""
"00000290";"SHERWIN- WILLIAMS 2";"RUA 11 SEM NOME";"JARDIM MARACANA (NOVA VENEZA)";"SÃO PAULO";"SP";" ";"13181902";"";"60872306004661";"671008905111";" ";"";03/09/2015;"";""
"00000291";"ALVARO HENRIQUE CRUZ DINIZ EIRELI";"SIA SUL QD 03 C LT";"SIA";"BRASILIA";"DF";" ";"70200035";"";"03513211000116";"0740441300190";" ";"";08/09/2015;"61 33611488";""
"00000292";"BRASILIA FILTROS COMERCIO E UTILIDADES";"SIA TR 03 LT.625/695 SALA";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71200030";"";"37070083000103";"0749131300137";" ";"";25/09/2015;"61 30318441";""
"00000293";"SERVWELD ASSIST TECNICA TRANSP LOC COMERCIAL LTDA";"QD 03 CONJ A LOTE";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71215226";"";"11504286000169";"0767151900162";" ";"";29/09/2015;"61 32346622";""
"00000294";"RIACHO DOCE  CONST. E INCORP. LTDA";"QD 4C BLOCO K LOTE 56 SL 111 ED SIA CENTER";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71200045";"";"03119646000180";"0771182800133";" ";"";30/09/2015;"";""
"00000295";"UTILER - UTILIDADES DE LEITURA E ESCRITA LTDA";"QNM 17 CONJUNTO E";"CEILANDIA SUL (CEILANDIA)";"BRASILIA";"DF";" ";"72215175";"";"36754000000124";"0730113500110";" ";"";05/10/2015;"61 39650456";""
"00000296";"HL INFORMATICA TECNOLOGIA E SUPORTE LTDA";"CLN 208 BLOCO D LOJAS 03,07";"ASA NORTE";"BRASILIA";"DF";" ";"70853540";"";"09328087000103";"0749833900142";" ";"";20/10/2015;"61 30371350";""
"00000297";"MADRUGA PAPEL E PAPELAO";"RUA INAJA - DE 901/902 AO FIM";"SITIO CERCADO";"CURITIBA";"PR";" ";"81900497";"";"13959525000109";"9062041185";" ";"GUSTAVO";03/12/2015;"41 32659415";""
"00000298";"ZAMBA INDUSTRIA E COMERCIO DE BRINDES";"AVENIDA OURO VERDE DE MINAS";"JARDIM IMPERADOR (ZONA LESTE)";"SÃO PAULO";"SP";" ";"03937090";"";"03228464000148";"115157356115";" ";"";04/12/2015;"11 27219494";""
"00000299";"METAL LIGHT IND E COM DE MOVEIS DE ACO LTDA";"ESTRADA";"CHACARAS DE RECREIO SAO JOAQUI";"GOIÂNIA";"GO";" ";"74470260";"";"07809935000162";"103981691";" ";"";05/12/2015;"62 40089523";""
"00000300";"DELL COMPUTADORES DO BRASIL LTDA";"QE 40 RUA 11 LT 8";"PARQUE DOS PINHEIROS";"HORTOLÂNDIA";"SP";" ";"13184654";"";"72381189000625";"748130921116";" ";"";09/12/2015;"19 21184000";""
"00000301";"DAUTO TINTAS LTDA ME";"SRIA QE 40 CONJUNTO H LT 45 LJ";"GUARA";"BRASILIA";"DF";" ";"71015127";"";"01969415000130";"0737590800179";" ";"";21/12/2015;"16139671396";""
"00000302";"CYBERWEB NETWORKS LTDA";"SAO PAULO";"SIA SUL";"BRASILIA";"DF";" ";"70000000";"";"05305671000184";"";" ";"";13/01/2016;"   40035464";""
"00000303";"MW BANDEIRANTE COMERCIAL LTDA";"Rua Ajuruete,";"JARDIM LEONIDAS MOREIRA";"SÃO PAULO";"SP";" ";"05792020";"";"52651486000121";"110894733119";" ";"ADRIANA";18/01/2016;"11 58417012";""
"00000304";"FABRICIO & RAFAEL TINTAS LTDA -ME";"QD 07 LJ 11/1";"SOBRADINHO";"BRASILIA";"DF";" ";"73050180";"";"13683088000135";"";" ";"RAFAEL";21/01/2016;"61 30510301";""
"00000305";"DAUTO TINTAS LTDA ME";"QD 4C LOTE 48/49 BL E LJ";"SIA";"BRASILIA";"DF";" ";"71225540";"";"01969415000211";"0737590800250";" ";"";24/02/2016;"61 33610580";""
"00000306";"DAUTO TINTAS LTDA ME";"SOF NORTE QD 02 BL A LOTE";"SOFNORTE";"BRASILIA";"DF";" ";"72000000";"";"01969415000300";"0737590800330";" ";"";24/02/2016;"61 34652055";"61 34652354"
"00000307";"MERCADO DAS TINTAS LTDA";"QI 07 LOTE 1160B SETOR INDUSTRIAL";"GAMA LESTE";"BRASILIA";"DF";" ";"72445070";"";"72628407000330";"0747233400339";" ";"";24/02/2016;"16135560556";""
"00000308";"MERCADO DAS TINTAS LTDA";"QNN 18 CONJ E LOTE";"CEILANDIA";"BRASILIA";"DF";" ";"72220185";"";"72628407000250";"0747233400258";" ";"";24/02/2016;"16133990699";""
"00000309";"MERCADO DAS TINTAS LTDA";"ADE CONJ 12 LOTE";"AGUAS CLARAS";"BRASILIA";"DF";" ";"72030100";"";"72628407000179";"0747233400177";" ";"";24/02/2016;"16133990699";""
"00000310";"COMERCIAL TAGUASUL DE PARAFUSOS LTDA ME";"QSE 16 LT 02 LJ";"TAGUATINGA SUL (TAGUATINGA)";"BRASILIA";"DF";" ";"72025160";"";"04654538000170";"0742606300163";" ";"";28/04/2016;"61 30425648";""
"00000311";"DNIT- DEPARTAMENTO NACIONAL DE INF DE TRANSP";"SOPI CONJ B LOTE";"PLANO";"BRASILIA";"DF";" ";"72000000";"";"04892707000100";"";" ";"";08/08/2016;"";""
"00000312";"MASTIFLEX INDUSTRIA DE SELANTES E MASSAS LTDA";"RUA DOUTOR JALLES MARTINS SALGUEIRO";"LOTEAMENTO INDUSTRIAL CORAL";"MAUÁ";"SP";" ";"09372000";"";"15080217000126";"442148756112";" ";"MARCOS";11/05/2016;"11 45468383";""
"00000313";"FFAM COMERCIO DE TINTAS LTDA";"SETOR SCIA QUADRA 14 CONJUNTO";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71250125";"";"22564026000103";"0772337500195";" ";"";06/06/2016;"61 33462005";""
"00000314";"LIMPOPLUS INDUSTRIA DE ESTOPAS LTDA";"RUA PETUNIA";"CHACARA DO QUITAO";"ITAÚNA";"MG";" ";"35680423";"";"06051424000161";"3382717930058";" ";"AMARAL";15/06/2016;"";""
"00000315";"BRASCOLA LTDA.";"RUA BRASCOLA";"ZONA INDUSTRIAL NORTE";"JOINVILLE";"SC";" ";"89219600";"";"61105060000163";"252895738";" ";"";06/06/2016;"";""
"00000316";"COMERCIAL ANTONIO CARVALHO LTDA";"RUA ALEMANHA - DE 851/852 AO FIM";"VILA CAMILOPOLIS";"SANTO ANDRÉ";"SP";" ";"09240001";"";"02559428000102";"626350592116";" ";"LUIZ ABDALA";21/06/2016;"11 49969010";""
"00000317";"PLANETA VEICULOS LTDA";"SIA/SUL TR 01 LOTE 170/200";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71200010";"";"03296378000415";"0744824000338";" ";"";08/06/2016;"   33622424";"   33622400"
"00000318";"SECRETARIA DE FAZENDA DF";"SBN QD. 02 BL. A ED. VALE DO RIO DOCE 13 ANDAR";"ASA NORTE";"ASA NORTE";"DF";" ";"70040909";"";"00394684000153";"";" ";"";24/06/2016;"61156";""
"00000319";"MECANICA PLATINO LTDA";"SIA TR 02 LOTES 1570 A";"ZONA INDUSTRIAL (GUARA)";"BRASILIA";"DF";" ";"71200010";"";"09240905000103";"0749646700151";" ";"";09/06/2016;"61 32348010";""
"00000320";"FL PNEUS E RODAS";"SOF NORTE QD 04 CONJ B LOTE";"SOF";"BRASILIA";"DF";" ";"72000000";"";"11814626000158";"";" ";"";01/07/2016;"";""
"00000321";"GLEIDSON P. DA SILVA DISTRIBUIDORA DE BEBIDAS ME";"QNM03 CONJUNTO P LOTE";"CEILANDIA NORTE (CEILANDIA)";"BRASILIA";"DF";" ";"72210262";"";"11377515000121";"0753177400183";" ";"";29/06/2016;"61 39657576";""
"00000322";"ITA CARIMBOS";"QE 40 CONJUNTO I LOTE 23 GUARA II";"GUARA II";"BRASILIA";"DF";" ";"72000000";"";"01254424000145";"";" ";"";04/07/2016;"61 33811488";""
"00000323";"A FERMAQUINAS COMERCIO DE FERRAMENTAS LTDA EPP";"ADE CJ 11 LT 7 LJ";"AGUAS CLARAS";"AGUAS CLARAS";"DF";" ";"72000000";"";"15061389000233";"0759906600205";" ";"";29/06/2016;"   30473999";""
"00000324";"MINISTERIO DA FAZENDA";"SOPI CONJ B LOTE";"PLANO";"BRASILIA";"DF";" ";"72000000";"";"00394460000141";"";" ";"";19/07/2016;"";""
"00000325";"RG FESTAS";"RUA 10 QD 43 CASA";"VALPARAISO";"VALPARAISO";"GO";" ";"72000000";"";"12727874000124";"";" ";"";29/06/2016;"   30832369";""
"00000326";"SALGADOS E BEBIDAS";"GAMA";"GAMA";"GAMA";"GO";" ";"72000000";"";"20987380000107";"";" ";"";29/06/2016;"";""
"00000327";"PANIFICADORA PANITTA";"QNN 18 CONJ F LOJAS 01/02";"CEILANDIA";"CEILANDIA";"DF";" ";"72000000";"";"00935681000180";"0744521600185";" ";"";29/06/2016;"   34711465";""
"00000328";"COMERCIAL DE FRUTAS E VERD. CANTEIROS";"QE 40 RUA 08 LT 2";"GUARA II";"BRASILIA";"DF";" ";"71070511";"";"38030151000246";"0734707700298";" ";"";06/07/2016;"";""
"00000329";"CIA IMOBILIARIA DE BRASILIA - TERRACAP";"ADE AGUAS CLARAS CONJ 12 LOTE";"AGUAS CLARAS";"BRASILIA";"DF";" ";"72000000";"";"00359877000173";"";" ";"";27/07/2016;"";""
"00000330";"ESTOPA BRASILIA LTDA";"AVENIDA RECANTO QUADRA";"RECANTO DAS EMAS";"BRASILIA";"DF";" ";"72620159";"";"23966881000103";"0775209500103";" ";"CLEYTON";12/07/2016;"61 38791666";""
"00000331";"IRMAOS BRAZ MAT. P/ CONSTR. E UTIL. P/ O LAR LTDA";"RUA 21 LOTE";"GUARA II";"BRASILIA";"DF";" ";"71070511";"";"08332493000179";"0747997100100";" ";"";29/06/2016;"   33010101";""
"00000332";"WLS REFRIGERACAO";"QUADRA 36 LOTE 03 LOJA";"SETOR SUL";"GAMA";"DF";" ";"72000000";"";"08202486000152";"0747774300141";" ";"";29/06/2016;"   35564444";""
"00000333";"KIKA COMERCIO DE LOCACAO DE MAT P/ FESTAS LTDA-ME";"QSE";"TAGUATINGA SUL (TAGUATINGA)";"BRASILIA";"DF";" ";"72025070";"";"12330520000141";"0754488500110";" ";"";01/08/2016;"16133565357";""
"00000334";"MARQUES MATERIAIS DE CONSTRUCAO E SERVICOS LTDA-ME";"RUA 5 (POLO DE MODAS)";"GUARA II";"BRASILIA";"DF";" ";"71070505";"";"21394686000112";"0770152000173";" ";"";18/07/2016;"61 35327200";""
